year,recipient_iso3,pmm_fh,pmm_polity,gdp,pop,unemp,disaster,civilwar
2009,KGZ,6.5,8,4817073505,5383300,8.41,26.00000021,0
2009,MDV,6.5,10,2412877397,353391,11.7,0,0
2009,MMR,1,-7,46990989123,50250366,0.78,23.99999997,1
2009,NPL,4.5,6,15267319043,26883531,1.64,126.9999999,0
2009,PAK,5,6,174364000000,175525610,0.54,102,1
2009,LKA,4.5,8,52516077579,20123508,5.85,4.000000012,1
2009,TJK,3.5,5,5297820308,7364752,11.5,21.00000009,0
2009,TKM,6,9,20680547525,5007953,4.54,0.920821467,0
2009,UZB,1,-7,43383926063,27767400,5,0,0
2009,IRN,5,9,460130000000,72924833,11.97,0,1
2009,IRQ,1,-7,130182000000,28973157,8.49,2,1
2009,JOR,3,-1,26519912222,6893258,12.9,0,0
2009,LBN,2,-4,35604407295,4813026,6.36,0,0
2009,OMN,1,-9,55954022116,2876186,3.84,0,0
2009,SYR,5,6,35847289440,21205873,8.14,0,0
2009,PSE,3,-6,9152714543,3689099,20.45,0,0
2009,YEM,2.5,2,28696460069,22516464,12.71,11.00000002,0
2009,COK,2,-4,11500613162,3494200,19.63,1.999999993,0
2009,FJI,5,8,3050380096,853636,4.2,15.00000004,0
2009,KIR,7,10,157576722.4,100928,8.41,0,0
2009,MHL,7,10,150378872.8,56255,11.51,0,0
2009,NRU,7,10,42808068.35,9945,12.35,0,0
2009,NIU,2.5,-7,216408000000,90901967,5.03,131.9999996,0
2009,PLW,7,8,185542094.2,18290,15.26,0,0
2009,PNG,4,5,12940121017,7144774,2.06,19,0
2009,WSM,6,8,659999075,184553,5.48,147.9999836,0
2009,SLB,6,9,779620029.5,515182,2.02,20.99999967,0
2009,TKL,6,8,237391000000,46258189,8.15,68.00000002,0
2009,TON,6.5,7,363915983.2,103897,1.56,8.999999769,0
2009,TUV,7,8,32716491.68,10413,10.62,7.00000012,0
2009,VUT,6,10,662362919.3,230244,4.57,0,0
2009,WLF,1.5,-8,11474677065,4145400,19.33,47.99999991,0
2010,ALB,3,3,11926928506,2913021,14.09,1.999999976,0
2010,BLR,3.5,5,57222490769,9490583,6.11,3.596249948,0
2010,BIH,4.5,8,17176781337,3705478,27.31,2.999999999,0
2010,HRV,6.5,9,59918313669,4295427,11.62,1.000000011,0
2010,MKD,6,8,9412311666,2070737,32.02,0,0
2010,MDA,6,10,6974960345,2861487,7.45,1,0
2010,MNE,1.5,-8,4143033276,619428,19.65,0,0
2010,SRB,2.5,-2,41819468692,7291436,19.22,5.000000037,0
2010,TUR,3.5,3,776993000000,72326992,10.66,64.00000011,1
2010,UKR,5,8,136013000000,45870741,8.1,6,0
2010,DZA,5.5,6,161207000000,35977451,9.96,0,1
2010,EGY,3.5,-5,218984000000,82761244,8.76,61.99999992,0
2010,LBY,1.5,-1,74773444901,6197667,19.03,0,0
2010,MAR,5.5,9,93216746662,32343384,9.09,41.99999994,0
2010,TUN,3.5,0,44050929160,10635245,13.05,0,0
2010,AGO,4.5,7,83799496611,23356247,9.43,25.00000005,0
2010,BEN,2,-1,9535345011,9199254,1.04,46.00000018,0
2010,BWA,6,10,12786654498,1987106,17.86,0,0
