recipient,year,dac,wb,non_dac,g7,wb_budget,recipient_iso3,pmm_fh,pmm_polity,gdp,pop,unemp,disaster,civilwar
Anguilla,2009,1.52,0,0,1.52,1683.5,AIA,1,-6,66074572472,7261541,17.63,68.00000002,0
Antigua and Barbuda,2009,2.63,0,0,2.54,1683.5,ATG,7,8,1246427315,86743,10.66,0,0
Barbados,2009,2.89,0,0,2.83,1683.5,BRB,7,10,4636000000,281107,10.02,0,0
Belize,2009,7.33,0,0.54,6.45,1683.5,BLZ,7,9,1337019313,314655,8.43,0,0
Costa Rica,2009,84.37,-0,0.19,69.39,1683.5,CRI,7,10,35742684148,4520739,7.71,22.00000066,0
Cuba,2009,81.76,0,0.28,39.9,1683.5,CUB,4,6,62826231727,11226711,1.67,3.000000029,0
Dominica,2009,4.63,0.84,1.05,4.6,1683.5,DMA,7,9,490526476.1,70848,7.57,0,0
Dominican Republic,2009,51.14,-0,0.05,16.85,1683.5,DOM,3.5,-1,49714185923,9576736,5.47,10.00000001,0
El Salvador,2009,248.17,-0,0.32,114.31,1683.5,SLV,3.5,-2,18067581907,6157678,7.33,118.9999918,0
Grenada,2009,3.16,2.48,4.53,3.07,1683.5,GRD,6,10,774975419.9,105787,8.41,0,0
Guatemala,2009,322.02,0,0.72,146.84,1683.5,GTM,5,9,39536140383,14000190,3.36,1.999999954,0
Haiti,2009,709.31,45.27,0.05,569.11,1683.5,HTI,5.5,9,12122895415,9798046,15.9,21.00000004,0
Honduras,2009,303.22,47.67,-0,224.58,1683.5,HND,6,8,15269613869,8150780,3.29,7.999999994,0
Jamaica,2009,7.77,0,-0,-0,1683.5,JAM,6,10,13416048458,2795839,11.36,0,0
Mexico,2009,178.27,0,1.27,186.11,1683.5,MEX,6,10,1006300000000,112463886,5.36,49.00000071,0
Montserrat,2009,36.32,0,0,36.31,1683.5,MSR,5.5,6,28487963591,9524532,2.27,35.99999999,0
Nicaragua,2009,451.33,67.28,0.06,167.03,1683.5,NIC,6.5,9,8388790341,5745538,8.16,0.999999993,0
Panama,2009,53.71,0,0.18,49.08,1683.5,PAN,7,10,27819050421,3579215,3.68,0.999999992,0
Saint Kitts and Nevis,2009,1.47,-0,-0,1.43,1683.5,KNA,7,9,764830622.5,48599,11.27,0.999999858,0
Saint Lucia,2009,5.89,0.4,-0,5.7,1683.5,LCA,7,10,1463288897,172223,15.37,0,0
Saint Vincent and the Grenadines,2009,4.54,0.86,-0,4.29,1683.5,VCT,6,7,704862568.8,108293,19.25,0,0
